color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition
yellow,11_G_CG_Hood_3.ogg,11,G,CG,Hood,3,audio,3,E
yellow,11_NG_CG_XX_11_NA.ogv,11,NG,CG,XX,11,NA,4,C
yellow,11_NG_CG_XX_11_NF.ogv,11,NG,CG,XX,11,NF,5,D
yellow,12_G_CG_Hood_4_NA.ogv,12,G,CG,Hood,4,NA,5,A
yellow,12_G_CG_Hood_4_NF.ogv,12,G,CG,Hood,4,NF,1,B
yellow,12_G_CG_Hood_4.ogg,12,G,CG,Hood,4,audio,2,E
yellow,12_NG_CG_XX_12_NA.ogv,12,NG,CG,XX,12,NA,3,C
yellow,12_NG_CG_XX_12_NF.ogv,12,NG,CG,XX,12,NF,4,D
yellow,13_G_CG_Mother_1_NA.ogv,13,G,CG,Mother,1,NA,4,A
yellow,13_G_CG_Mother_1_NF.ogv,13,G,CG,Mother,1,NF,5,B
yellow,13_G_CG_Mother_1.ogg,13,G,CG,Mother,1,audio,1,E
yellow,13_NG_CG_XX_13_NA.ogv,13,NG,CG,XX,13,NA,2,C
yellow,13_NG_CG_XX_13_NF.ogv,13,NG,CG,XX,13,NF,3,D
yellow,14_G_CG_Mother_2_NA.ogv,14,G,CG,Mother,2,NA,3,A
yellow,14_G_CG_Mother_2_NF.ogv,14,G,CG,Mother,2,NF,4,B
yellow,14_G_CG_Mother_2.ogg,14,G,CG,Mother,2,audio,5,E
yellow,14_NG_CG_XX_14_NA.ogv,14,NG,CG,XX,14,NA,1,C
yellow,14_NG_CG_XX_14_NF.ogv,14,NG,CG,XX,14,NF,2,D
yellow,15_G_CG_Mother_3_NA.ogv,15,G,CG,Mother,3,NA,2,A
yellow,15_G_CG_Mother_3_NF.ogv,15,G,CG,Mother,3,NF,3,B
yellow,15_G_CG_Mother_3.ogg,15,G,CG,Mother,3,audio,4,E
yellow,15_NG_CG_XX_15_NA.ogv,15,NG,CG,XX,15,NA,5,C
yellow,15_NG_CG_XX_15_NF.ogv,15,NG,CG,XX,15,NF,1,D
yellow,16_G_CG_Mother_4_NA.ogv,16,G,CG,Mother,4,NA,1,A
yellow,16_G_CG_Mother_4_NF.ogv,16,G,CG,Mother,4,NF,2,B
yellow,16_G_CG_Mother_4.ogg,16,G,CG,Mother,4,audio,3,E
yellow,16_NG_CG_XX_16_NA.ogv,16,NG,CG,XX,16,NA,4,C
yellow,16_NG_CG_XX_16_NF.ogv,16,NG,CG,XX,16,NF,5,D
yellow,17_G_CG_Princess_1_NA.ogv,17,G,CG,Princess,1,NA,5,A
yellow,17_G_CG_Princess_1_NF.ogv,17,G,CG,Princess,1,NF,1,B
yellow,17_G_CG_Princess_1.ogg,17,G,CG,Princess,1,audio,2,E
yellow,17_NG_CG_XX_17_NA.ogv,17,NG,CG,XX,17,NA,3,C
yellow,17_NG_CG_XX_17_NF.ogv,17,NG,CG,XX,17,NF,4,D
yellow,18_G_CG_Princess_2_NA.ogv,18,G,CG,Princess,2,NA,4,A
yellow,18_G_CG_Princess_2_NF.ogv,18,G,CG,Princess,2,NF,5,B
yellow,18_G_CG_Princess_2.ogg,18,G,CG,Princess,2,audio,1,E
yellow,18_NG_CG_XX_18_NA.ogv,18,NG,CG,XX,18,NA,2,C
yellow,18_NG_CG_XX_18_NF.ogv,18,NG,CG,XX,18,NF,3,D
yellow,19_G_CG_Princess_3_NA.ogv,19,G,CG,Princess,3,NA,3,A
yellow,19_G_CG_Princess_3_NF.ogv,19,G,CG,Princess,3,NF,4,B
yellow,19_G_CG_Princess_3.ogg,19,G,CG,Princess,3,audio,5,E
yellow,19_NG_CG_XX_19_NA.ogv,19,NG,CG,XX,19,NA,1,C
yellow,19_NG_CG_XX_19_NF.ogv,19,NG,CG,XX,19,NF,2,D
blue,20_G_DS_Bee_1_NA.ogv,20,G,DS,Bee,1,NA,2,A
blue,20_G_DS_Bee_1_NF.ogv,20,G,DS,Bee,1,NF,3,B
blue,20_G_DS_Bee_1.ogg,20,G,DS,Bee,1,audio,4,E
blue,20_NG_DS_XX_1_NA.ogv,20,NG,DS,XX,1,NA,5,C
blue,20_NG_DS_XX_1_NF.ogv,20,NG,DS,XX,1,NF,1,D
blue,21_G_DS_Bee_2_NA.ogv,21,G,DS,Bee,2,NA,1,A
blue,21_G_DS_Bee_2_NF.ogv,21,G,DS,Bee,2,NF,2,B
blue,21_G_DS_Bee_2.ogg,21,G,DS,Bee,2,audio,3,E
blue,21_NG_DS_XX_2_NA.ogv,21,NG,DS,XX,2,NA,4,C
blue,21_NG_DS_XX_2_NF.ogv,21,NG,DS,XX,2,NF,5,D
blue,22_G_DS_Bee_3_NA.ogv,22,G,DS,Bee,3,NA,5,A
blue,22_G_DS_Bee_3_NF.ogv,22,G,DS,Bee,3,NF,1,B
blue,22_G_DS_Bee_3.ogg,22,G,DS,Bee,3,audio,2,E
blue,22_NG_DS_XX_3_NA.ogv,22,NG,DS,XX,3,NA,3,C
blue,22_NG_DS_XX_3_NF.ogv,22,NG,DS,XX,3,NF,4,D
blue,23_G_DS_Bee_4_NA.ogv,23,G,DS,Bee,4,NA,4,A
blue,23_G_DS_Bee_4_NF.ogv,23,G,DS,Bee,4,NF,5,B
blue,23_G_DS_Bee_4.ogg,23,G,DS,Bee,4,audio,1,E
blue,23_NG_DS_XX_4_NA.ogv,23,NG,DS,XX,4,NA,2,C
blue,23_NG_DS_XX_4_NF.ogv,23,NG,DS,XX,4,NF,3,D
blue,24_G_DS_Frog_1_NA.ogv,24,G,DS,Frog,1,NA,3,A
blue,24_G_DS_Frog_1_NF.ogv,24,G,DS,Frog,1,NF,4,B
blue,24_G_DS_Frog_1.ogg,24,G,DS,Frog,1,audio,5,E
blue,24_NG_DS_XX_5_NA.ogv,24,NG,DS,XX,5,NA,1,C
blue,24_NG_DS_XX_5_NF.ogv,24,NG,DS,XX,5,NF,2,D
blue,25_G_DS_Frog_2_NA.ogv,25,G,DS,Frog,2,NA,2,A
blue,25_G_DS_Frog_2_NF.ogv,25,G,DS,Frog,2,NF,3,B
blue,25_G_DS_Frog_2.ogg,25,G,DS,Frog,2,audio,4,E
blue,25_NG_DS_XX_6_NA.ogv,25,NG,DS,XX,6,NA,5,C
blue,25_NG_DS_XX_6_NF.ogv,25,NG,DS,XX,6,NF,1,D
blue,26_G_DS_Frog_3_NA.ogv,26,G,DS,Frog,3,NA,1,A
blue,26_G_DS_Frog_3_NF.ogv,26,G,DS,Frog,3,NF,2,B
blue,26_G_DS_Frog_3.ogg,26,G,DS,Frog,3,audio,3,E
blue,26_NG_DS_XX_7_NA.ogv,26,NG,DS,XX,7,NA,4,C
blue,26_NG_DS_XX_7_NF.ogv,26,NG,DS,XX,7,NF,5,D
blue,27_G_DS_Frog_4_NA.ogv,27,G,DS,Frog,4,NA,5,A
blue,27_G_DS_Frog_4_NF.ogv,27,G,DS,Frog,4,NF,1,B
blue,27_G_DS_Frog_4.ogg,27,G,DS,Frog,4,audio,2,E
blue,27_NG_DS_XX_8_NA.ogv,27,NG,DS,XX,8,NA,3,C
blue,27_NG_DS_XX_8_NF.ogv,27,NG,DS,XX,8,NF,4,D
blue,28_G_DS_Hood_1_NA.ogv,28,G,DS,Hood,1,NA,4,A
blue,28_G_DS_Hood_1_NF.ogv,28,G,DS,Hood,1,NF,5,B
blue,28_G_DS_Hood_1.ogg,28,G,DS,Hood,1,audio,1,E
blue,28_NG_DS_XX_9_NA.ogv,28,NG,DS,XX,9,NA,2,C
blue,28_NG_DS_XX_9_NF.ogv,28,NG,DS,XX,9,NF,3,D
blue,29_G_DS_Hood_2_NA.ogv,29,G,DS,Hood,2,NA,3,A
blue,29_G_DS_Hood_2_NF.ogv,29,G,DS,Hood,2,NF,4,B
blue,29_G_DS_Hood_2.ogg,29,G,DS,Hood,2,audio,5,E
blue,29_NG_DS_XX_10_NA.ogv,29,NG,DS,XX,10,NA,1,C
blue,29_NG_DS_XX_10_NF.ogv,29,NG,DS,XX,10,NF,2,D
blue,30_G_DS_Hood_3_NA.ogv,30,G,DS,Hood,3,NA,2,A
blue,30_G_DS_Hood_3_NF.ogv,30,G,DS,Hood,3,NF,3,B
blue,30_G_DS_Hood_3.ogg,30,G,DS,Hood,3,audio,4,E
blue,30_NG_DS_XX_11_NA.ogv,30,NG,DS,XX,11,NA,5,C
blue,30_NG_DS_XX_11_NF.ogv,30,NG,DS,XX,11,NF,1,D
blue,31_G_DS_Hood_4_NA.ogv,31,G,DS,Hood,4,NA,1,A
blue,31_G_DS_Hood_4_NF.ogv,31,G,DS,Hood,4,NF,2,B
blue,31_G_DS_Hood_4.ogg,31,G,DS,Hood,4,audio,3,E
blue,31_NG_DS_XX_12_NA.ogv,31,NG,DS,XX,12,NA,4,C
blue,31_NG_DS_XX_12_NF.ogv,31,NG,DS,XX,12,NF,5,D
blue,32_G_DS_Mother_1_NA.ogv,32,G,DS,Mother,1,NA,5,A
blue,32_G_DS_Mother_1_NF.ogv,32,G,DS,Mother,1,NF,1,B
blue,32_G_DS_Mother_1.ogg,32,G,DS,Mother,1,audio,2,E
blue,32_NG_DS_XX_13_NA.ogv,32,NG,DS,XX,13,NA,3,C
blue,32_NG_DS_XX_13_NF.ogv,32,NG,DS,XX,13,NF,4,D
blue,33_G_DS_Mother_2_NA.ogv,33,G,DS,Mother,2,NA,4,A
blue,33_G_DS_Mother_2_NF.ogv,33,G,DS,Mother,2,NF,5,B
blue,33_G_DS_Mother_2.ogg,33,G,DS,Mother,2,audio,1,E
blue,33_NG_DS_XX_14_NA.ogv,33,NG,DS,XX,14,NA,2,C
blue,33_NG_DS_XX_14_NF.ogv,33,NG,DS,XX,14,NF,3,D
blue,34_G_DS_Mother_3_NA.ogv,34,G,DS,Mother,3,NA,3,A
blue,34_G_DS_Mother_3_NF.ogv,34,G,DS,Mother,3,NF,4,B
blue,34_G_DS_Mother_3.ogg,34,G,DS,Mother,3,audio,5,E
blue,34_NG_DS_XX_15_NA.ogv,34,NG,DS,XX,15,NA,1,C
blue,34_NG_DS_XX_15_NF.ogv,34,NG,DS,XX,15,NF,2,D
blue,35_G_DS_Princess_1_NA.ogv,35,G,DS,Princess,1,NA,2,A
blue,35_G_DS_Princess_1_NF.ogv,35,G,DS,Princess,1,NF,3,B
blue,35_G_DS_Princess_1.ogg,35,G,DS,Princess,1,audio,4,E
blue,35_NG_DS_XX_16_NA.ogv,35,NG,DS,XX,16,NA,5,C
blue,35_NG_DS_XX_16_NF.ogv,35,NG,DS,XX,16,NF,1,D
blue,36_G_DS_Princess_2_NA.ogv,36,G,DS,Princess,2,NA,1,A
blue,36_G_DS_Princess_2_NF.ogv,36,G,DS,Princess,2,NF,2,B
blue,36_G_DS_Princess_2.ogg,36,G,DS,Princess,2,audio,3,E
blue,36_NG_DS_XX_17_NA.ogv,36,NG,DS,XX,17,NA,4,C
blue,36_NG_DS_XX_17_NF.ogv,36,NG,DS,XX,17,NF,5,D
blue,37_G_DS_Princess_3_NA.ogv,37,G,DS,Princess,3,NA,5,A
blue,37_G_DS_Princess_3_NF.ogv,37,G,DS,Princess,3,NF,1,B
blue,37_G_DS_Princess_3.ogg,37,G,DS,Princess,3,audio,2,E
blue,37_NG_DS_XX_18_NA.ogv,37,NG,DS,XX,18,NA,3,C
blue,37_NG_DS_XX_18_NF.ogv,37,NG,DS,XX,18,NF,4,D
green,38_G_JH_Bee_1_NA.ogv,38,G,JH,Bee,1,NA,4,A
green,38_G_JH_Bee_1_NF.ogv,38,G,JH,Bee,1,NF,5,B
green,38_G_JH_Bee_1.ogg,38,G,JH,Bee,1,audio,1,E
green,38_NG_JH_XX_1_NA.ogv,38,NG,JH,XX,1,NA,2,C
green,38_NG_JH_XX_1_NF.ogv,38,NG,JH,XX,1,NF,3,D
green,39_G_JH_Bee_2_NA.ogv,39,G,JH,Bee,2,NA,3,A
green,39_G_JH_Bee_2_NF.ogv,39,G,JH,Bee,2,NF,4,B
green,39_G_JH_Bee_2.ogg,39,G,JH,Bee,2,audio,5,E
green,39_NG_JH_XX_2_NA.ogv,39,NG,JH,XX,2,NA,1,C
green,39_NG_JH_XX_2_NF.ogv,39,NG,JH,XX,2,NF,2,D
green,40_G_JH_Bee_3_NA.ogv,40,G,JH,Bee,3,NA,2,A
green,40_G_JH_Bee_3_NF.ogv,40,G,JH,Bee,3,NF,3,B
green,40_G_JH_Bee_3.ogg,40,G,JH,Bee,3,audio,4,E
green,40_NG_JH_XX_3_NA.ogv,40,NG,JH,XX,3,NA,5,C
green,40_NG_JH_XX_3_NF.ogv,40,NG,JH,XX,3,NF,1,D
green,41_G_JH_Bee_4_NA.ogv,41,G,JH,Bee,4,NA,1,A
green,41_G_JH_Bee_4_NF.ogv,41,G,JH,Bee,4,NF,2,B
green,41_G_JH_Bee_4.ogg,41,G,JH,Bee,4,audio,3,E
green,41_NG_JH_XX_4_NA.ogv,41,NG,JH,XX,4,NA,4,C
green,41_NG_JH_XX_4_NF.ogv,41,NG,JH,XX,4,NF,5,D
green,42_G_JH_Frog_1_NA.ogv,42,G,JH,Frog,1,NA,5,A
green,42_G_JH_Frog_1_NF.ogv,42,G,JH,Frog,1,NF,1,B
green,42_G_JH_Frog_1.ogg,42,G,JH,Frog,1,audio,2,E
green,42_NG_JH_XX_5_NA.ogv,42,NG,JH,XX,5,NA,3,C
green,42_NG_JH_XX_5_NF.ogv,42,NG,JH,XX,5,NF,4,D
green,43_G_JH_Frog_2_NA.ogv,43,G,JH,Frog,2,NA,4,A
green,43_G_JH_Frog_2_NF.ogv,43,G,JH,Frog,2,NF,5,B
green,43_G_JH_Frog_2.ogg,43,G,JH,Frog,2,audio,1,E
green,43_NG_JH_XX_6_NA.ogv,43,NG,JH,XX,6,NA,2,C
green,43_NG_JH_XX_6_NF.ogv,43,NG,JH,XX,6,NF,3,D
green,44_G_JH_Frog_3_NA.ogv,44,G,JH,Frog,3,NA,3,A
green,44_G_JH_Frog_3_NF.ogv,44,G,JH,Frog,3,NF,4,B
green,44_G_JH_Frog_3.ogg,44,G,JH,Frog,3,audio,5,E
green,44_NG_JH_XX_7_NA.ogv,44,NG,JH,XX,7,NA,1,C
green,44_NG_JH_XX_7_NF.ogv,44,NG,JH,XX,7,NF,2,D
green,45_G_JH_Frog_4_NA.ogv,45,G,JH,Frog,4,NA,2,A
green,45_G_JH_Frog_4_NF.ogv,45,G,JH,Frog,4,NF,3,B
green,45_G_JH_Frog_4.ogg,45,G,JH,Frog,4,audio,4,E
green,45_NG_JH_XX_8_NA.ogv,45,NG,JH,XX,8,NA,5,C
green,45_NG_JH_XX_8_NF.ogv,45,NG,JH,XX,8,NF,1,D
green,46_G_JH_Hood_1_NA.ogv,46,G,JH,Hood,1,NA,1,A
green,46_G_JH_Hood_1_NF.ogv,46,G,JH,Hood,1,NF,2,B
green,46_G_JH_Hood_1.ogg,46,G,JH,Hood,1,audio,3,E
green,46_NG_JH_XX_9_NA.ogv,46,NG,JH,XX,9,NA,4,C
green,46_NG_JH_XX_9_NF.ogv,46,NG,JH,XX,9,NF,5,D
green,47_G_JH_Hood_2_NA.ogv,47,G,JH,Hood,2,NA,5,A
green,47_G_JH_Hood_2_NF.ogv,47,G,JH,Hood,2,NF,1,B
green,47_G_JH_Hood_2.ogg,47,G,JH,Hood,2,audio,2,E
green,47_NG_JH_XX_10_NA.ogv,47,NG,JH,XX,10,NA,3,C
green,47_NG_JH_XX_10_NF.ogv,47,NG,JH,XX,10,NF,4,D
green,48_G_JH_Hood_3_NA.ogv,48,G,JH,Hood,3,NA,4,A
green,48_G_JH_Hood_3_NF.ogv,48,G,JH,Hood,3,NF,5,B
green,48_G_JH_Hood_3.ogg,48,G,JH,Hood,3,audio,1,E
green,48_NG_JH_XX_11_NA.ogv,48,NG,JH,XX,11,NA,2,C
green,48_NG_JH_XX_11_NF.ogv,48,NG,JH,XX,11,NF,3,D
green,49_G_JH_Hood_4_NA.ogv,49,G,JH,Hood,4,NA,3,A
green,49_G_JH_Hood_4_NF.ogv,49,G,JH,Hood,4,NF,4,B
green,49_G_JH_Hood_4.ogg,49,G,JH,Hood,4,audio,5,E
green,49_NG_JH_XX_12_NA.ogv,49,NG,JH,XX,12,NA,1,C
green,49_NG_JH_XX_12_NF.ogv,49,NG,JH,XX,12,NF,2,D
green,50_G_JH_Mother_1_NA.ogv,50,G,JH,Mother,1,NA,2,A
green,50_G_JH_Mother_1_NF.ogv,50,G,JH,Mother,1,NF,3,B
green,50_G_JH_Mother_1.ogg,50,G,JH,Mother,1,audio,4,E
green,50_NG_JH_XX_13_NA.ogv,50,NG,JH,XX,13,NA,5,C
green,50_NG_JH_XX_13_NF.ogv,50,NG,JH,XX,13,NF,1,D
green,51_G_JH_Mother_2_NA.ogv,51,G,JH,Mother,2,NA,1,A
green,51_G_JH_Mother_2_NF.ogv,51,G,JH,Mother,2,NF,2,B
green,51_G_JH_Mother_2.ogg,51,G,JH,Mother,2,audio,3,E
green,51_NG_JH_XX_14_NA.ogv,51,NG,JH,XX,14,NA,4,C
green,51_NG_JH_XX_14_NF.ogv,51,NG,JH,XX,14,NF,5,D
green,52_G_JH_Mother_3_NA.ogv,52,G,JH,Mother,3,NA,5,A
green,52_G_JH_Mother_3_NF.ogv,52,G,JH,Mother,3,NF,1,B
green,52_G_JH_Mother_3.ogg,52,G,JH,Mother,3,audio,2,E
green,52_NG_JH_XX_15_NA.ogv,52,NG,JH,XX,15,NA,3,C
green,52_NG_JH_XX_15_NF.ogv,52,NG,JH,XX,15,NF,4,D
green,53_G_JH_Mother_4_NA.ogv,53,G,JH,Mother,4,NA,4,A
green,53_G_JH_Mother_4_NF.ogv,53,G,JH,Mother,4,NF,5,B
green,53_G_JH_Mother_4.ogg,53,G,JH,Mother,4,audio,1,E
green,53_NG_JH_XX_16_NA.ogv,53,NG,JH,XX,16,NA,2,C
green,53_NG_JH_XX_16_NF.ogv,53,NG,JH,XX,16,NF,3,D
green,54_G_JH_Princess_1_NA.ogv,54,G,JH,Princess,1,NA,3,A
green,54_G_JH_Princess_1_NF.ogv,54,G,JH,Princess,1,NF,4,B
green,54_G_JH_Princess_1.ogg,54,G,JH,Princess,1,audio,5,E
green,54_NG_JH_XX_17_NA.ogv,54,NG,JH,XX,17,NA,1,C
green,54_NG_JH_XX_17_NF.ogv,54,NG,JH,XX,17,NF,2,D
green,55_G_JH_Princess_2_NA.ogv,55,G,JH,Princess,2,NA,2,A
green,55_G_JH_Princess_2_NF.ogv,55,G,JH,Princess,2,NF,3,B
green,55_G_JH_Princess_2.ogg,55,G,JH,Princess,2,audio,4,E
green,55_NG_JH_XX_18_NA.ogv,55,NG,JH,XX,18,NA,5,C
green,55_NG_JH_XX_18_NF.ogv,55,NG,JH,XX,18,NF,1,D
green,56_G_JH_Princess_3_NA.ogv,56,G,JH,Princess,3,NA,1,A
green,56_G_JH_Princess_3_NF.ogv,56,G,JH,Princess,3,NF,2,B
green,56_G_JH_Princess_3.ogg,56,G,JH,Princess,3,audio,3,E
green,56_NG_JH_XX_19_NA.ogv,56,NG,JH,XX,19,NA,4,C
green,56_NG_JH_XX_19_NF.ogv,56,NG,JH,XX,19,NF,5,D
purple,57_G_MY_Bee_1_NA.ogv,57,G,MY,Bee,1,NA,5,A
purple,57_G_MY_Bee_1_NF.ogv,57,G,MY,Bee,1,NF,1,B
purple,57_G_MY_Bee_1.ogg,57,G,MY,Bee,1,audio,2,E
purple,57_NG_MY_XX_1_NA.ogv,57,NG,MY,XX,1,NA,3,C
purple,57_NG_MY_XX_1_NF.ogv,57,NG,MY,XX,1,NF,4,D
purple,58_G_MY_Bee_2_NA.ogv,58,G,MY,Bee,2,NA,4,A
purple,58_G_MY_Bee_2_NF.ogv,58,G,MY,Bee,2,NF,5,B
purple,58_G_MY_Bee_2.ogg,58,G,MY,Bee,2,audio,1,E
purple,58_NG_MY_XX_2_NA.ogv,58,NG,MY,XX,2,NA,2,C
purple,58_NG_MY_XX_2_NF.ogv,58,NG,MY,XX,2,NF,3,D
purple,59_G_MY_Bee_3_NA.ogv,59,G,MY,Bee,3,NA,3,A
purple,59_G_MY_Bee_3_NF.ogv,59,G,MY,Bee,3,NF,4,B
purple,59_G_MY_Bee_3.ogg,59,G,MY,Bee,3,audio,5,E
purple,59_NG_MY_XX_3_NA.ogv,59,NG,MY,XX,3,NA,1,C
purple,59_NG_MY_XX_3_NF.ogv,59,NG,MY,XX,3,NF,2,D
purple,60_G_MY_Bee_4_NA.ogv,60,G,MY,Bee,4,NA,2,A
purple,60_G_MY_Bee_4_NF.ogv,60,G,MY,Bee,4,NF,3,B
purple,60_G_MY_Bee_4.ogg,60,G,MY,Bee,4,audio,4,E
purple,60_NG_MY_XX_4_NA.ogv,60,NG,MY,XX,4,NA,5,C
purple,60_NG_MY_XX_4_NF.ogv,60,NG,MY,XX,4,NF,1,D
purple,61_G_MY_Bee_5_NA.ogv,61,G,MY,Bee,5,NA,1,A
purple,61_G_MY_Bee_5_NF.ogv,61,G,MY,Bee,5,NF,2,B
purple,61_G_MY_Bee_5.ogg,61,G,MY,Bee,5,audio,3,E
purple,61_NG_MY_XX_5_NA.ogv,61,NG,MY,XX,5,NA,4,C
purple,61_NG_MY_XX_5_NF.ogv,61,NG,MY,XX,5,NF,5,D
purple,62_G_MY_Frog_1_NA.ogv,62,G,MY,Frog,1,NA,5,A
purple,62_G_MY_Frog_1_NF.ogv,62,G,MY,Frog,1,NF,1,B
purple,62_G_MY_Frog_1.ogg,62,G,MY,Frog,1,audio,2,E
purple,62_NG_MY_XX_6_NA.ogv,62,NG,MY,XX,6,NA,3,C
purple,62_NG_MY_XX_6_NF.ogv,62,NG,MY,XX,6,NF,4,D
purple,63_G_MY_Frog_2_NA.ogv,63,G,MY,Frog,2,NA,4,A
purple,63_G_MY_Frog_2_NF.ogv,63,G,MY,Frog,2,NF,5,B
purple,63_G_MY_Frog_2.ogg,63,G,MY,Frog,2,audio,1,E
purple,63_NG_MY_XX_7_NA.ogv,63,NG,MY,XX,7,NA,2,C
purple,63_NG_MY_XX_7_NF.ogv,63,NG,MY,XX,7,NF,3,D
purple,64_G_MY_Frog_3_NA.ogv,64,G,MY,Frog,3,NA,3,A
purple,64_G_MY_Frog_3_NF.ogv,64,G,MY,Frog,3,NF,4,B
purple,64_G_MY_Frog_3.ogg,64,G,MY,Frog,3,audio,5,E
purple,64_NG_MY_XX_8_NA.ogv,64,NG,MY,XX,8,NA,1,C
purple,64_NG_MY_XX_8_NF.ogv,64,NG,MY,XX,8,NF,2,D
purple,65_G_MY_Frog_4_NA.ogv,65,G,MY,Frog,4,NA,2,A
purple,65_G_MY_Frog_4_NF.ogv,65,G,MY,Frog,4,NF,3,B
purple,65_G_MY_Frog_4.ogg,65,G,MY,Frog,4,audio,4,E
purple,65_NG_MY_XX_9_NA.ogv,65,NG,MY,XX,9,NA,5,C
purple,65_NG_MY_XX_9_NF.ogv,65,NG,MY,XX,9,NF,1,D
purple,66_G_MY_Frog_5_NA.ogv,66,G,MY,Frog,5,NA,1,A
purple,66_G_MY_Frog_5_NF.ogv,66,G,MY,Frog,5,NF,2,B
purple,66_G_MY_Frog_5.ogg,66,G,MY,Frog,5,audio,3,E
purple,66_NG_MY_XX_10_NA.ogv,66,NG,MY,XX,10,NA,4,C
